build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,448.2680020453929,37.75736401698552,0.5339697627227881,5000,0,2.0999999999999996,2.0999999999999996,16,16,linear-v1,20.999999999999996,349.71428571428567,0,5232220115501351--505003
Balance,Windshaper,Horde,446.73824767169606,34.99488621046262,0.4949024269253944,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,349.71428571428567,-5.329070518200751e-15,5232220115501351--505003
Balance,Night Elf,Alliance,457.4993518336393,37.11789744573231,0.5249263397452829,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,349.71428571428567,-5.329070518200751e-15,5232220115501351--505003
Balance,High Order,Alliance,446.73824767169606,34.99488621046262,0.4949024269253944,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,349.71428571428567,-5.329070518200751e-15,5232220115501351--505003
Feral,Tauren,Horde,607.9400034291017,34.028298291363996,0.48123280948124175,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,340,0,050022-3521002023032213041-053
Feral,Windshaper,Horde,600.9793116909601,33.130717967005744,0.46853910680097494,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,340,0,050022-3521002023032213041-053
Feral,Night Elf,Alliance,614.1661378993135,34.164849240677285,0.48316393152597953,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,340,0,050022-3521002023032213041-053
Feral,High Order,Alliance,600.9793116909601,33.130717967005744,0.46853910680097494,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,340,0,050022-3521002023032213041-053
Elemental,Orc,Horde,430.08151245481434,32.35661721485169,0.4575916689775802,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Tauren,Horde,425.87242791443754,32.13716980873545,0.4544882139980084,5000,0,2.0999999999999996,2.0999999999999996,16,16,linear-v1,20.999999999999996,379.42857142857144,4.440892098500626e-16,5502301500123031-0500001-053050001
Elemental,Troll,Horde,430.51902759227863,32.19163883674733,0.4552585223794452,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Windshaper,Horde,422.1426790246791,31.428864993075845,0.44447127123200847,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Dwarf,Alliance,425.78777681514214,32.274765961063636,0.45643411744553714,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Stormcaller,Orc,Horde,450.39115609598633,33.34161364485827,0.47152162207962406,5000,0,8.1,8.1,16,16,linear-v1,81,379.42857142857144,7.105427357601002e-15,550032150010303-055030031004002
Stormcaller,Tauren,Horde,445.50279398566045,33.03789732653325,0.46722642471473136,5000,0,7.1,7.1,16,16,linear-v1,71,379.42857142857144,5.329070518200751e-15,550032150010303-055030031004002
