build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,451.49379856229376,29.53207437147427,0.4176466010114981,5000,0,2.0999999999999996,2.0999999999999996,16,16,linear-v1,20.999999999999996,349.71428571428567,0,5232220115501351--505003
Balance,Windshaper,Horde,450.6312968263283,29.705586856993673,0.4201004381141241,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,349.71428571428567,-5.329070518200751e-15,5232220115501351--505003
Balance,Night Elf,Alliance,456.40939100299346,29.838785951436808,0.4219841577726971,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,349.71428571428567,-5.329070518200751e-15,5232220115501351--505003
Balance,High Order,Alliance,450.6312968263283,29.705586856993673,0.4201004381141241,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,349.71428571428567,-5.329070518200751e-15,5232220115501351--505003
Feral,Tauren,Horde,568.8107476864774,28.99532102214588,0.41005576234880414,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,340,0,050022-3521002023032213041-053
Feral,Windshaper,Horde,565.3803621255944,27.479009481448053,0.38861187889242704,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,340,0,050022-3521002023032213041-053
Feral,Night Elf,Alliance,571.4298973156477,28.9964182155084,0.4100712790061424,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,340,0,050022-3521002023032213041-053
Feral,High Order,Alliance,565.3803621255944,27.479009481448053,0.38861187889242704,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,340,0,050022-3521002023032213041-053
Elemental,Orc,Horde,429.4617018915941,24.284740177217177,0.3434380891732733,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Tauren,Horde,428.40550971577613,24.198077491185213,0.34221249371389245,5000,0,2.0999999999999996,2.0999999999999996,16,16,linear-v1,20.999999999999996,379.42857142857144,4.440892098500626e-16,5502301500123031-0500001-053050001
Elemental,Troll,Horde,426.9568253224743,24.228950564389752,0.3426491049022724,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Windshaper,Horde,426.83603660456595,24.38863572199895,0.3449073940582785,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Dwarf,Alliance,428.3714381715441,24.40012907553106,0.34506993462270114,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Stormcaller,Orc,Horde,446.79343668802073,25.0510069314212,0.3542747375351827,5000,0,8.1,8.1,16,16,linear-v1,81,379.42857142857144,7.105427357601002e-15,550032150010303-055030031004002
Stormcaller,Tauren,Horde,445.3745387832419,25.01955019920219,0.35382987216186207,5000,0,7.1,7.1,16,16,linear-v1,71,379.42857142857144,5.329070518200751e-15,550032150010303-055030031004002
Stormcaller,Troll,Horde,443.3110549150634,25.394666478513265,0.35913481745854864,5000,0,8.1,8.1,16,16,linear-v1,81,379.42857142857144,7.105427357601002e-15,550032150010303-055030031004002
Stormcaller,Windshaper,Horde,443.46210962317576,25.33258841455237,0.358256901058755,5000,0,8.1,8.1,16,16,linear-v1,81,379.42857142857144,7.105427357601002e-15,550032150010303-055030031004002
Stormcaller,Dwarf,Alliance,445.6125443261115,25.0552758579114,0.35433510927257483,5000,0,8.1,8.1,16,16,linear-v1,81,379.42857142857144,7.105427357601002e-15,550032150010303-055030031004002
Enhancement,Orc,Horde,624.8660912212398,65.73243232814538,0.9295969728623487,5000,0,11.1,11.1,16,16,linear-v1,111,343,7.105427357601002e-15,05043305-055030031005102051
Enhancement,Tauren,Horde,614.7228104715177,64.7115419492622,0.9151594026672207,5000,0,10.1,10.1,16,16,linear-v1,101,343,3.552713678800501e-15,05043305-055030031005102051
Enhancement,Troll,Horde,617.1289280710763,64.75828978776748,0.9158205169394786,5000,0.0010825894902,11.1,11.1,16,16,linear-v1,111,343,7.105427357601002e-15,05043305-055030031005102051
Enhancement,Windshaper,Horde,614.8342991344232,64.14479980471253,0.9071444583953152,5000,4.6637660800000006e-05,11.1,11.1,16,16,linear-v1,111,343,7.105427357601002e-15,05043305-055030031005102051
Enhancement,Dwarf,Alliance,611.780859352801,64.5996709496431,0.913577307818245,5000,0,11.1,11.1,16,16,linear-v1,111,343,7.105427357601002e-15,05043305-055030031005102051
Beast Mastery,Orc,Horde,790.6148711013384,36.7291747260975,0.5194289703241819,5000,0,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,Tauren,Horde,787.3549250956089,36.60746426577306,0.517707724487447,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,356,-2.6645352591003757e-15,5320001505101251-00531510005
Beast Mastery,Troll,Horde,791.6179901690361,36.6937277907987,0.5189276749577406,5000,0,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,Windshaper,Horde,789.2289651838489,36.37024994376773,0.5143530073737562,5000,0,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00531510005
