build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,448.00660560718774,34.66790184587081,0.4902781696944975,5000,0,2.0999999999999996,2.0999999999999996,16,16,linear-v1,20.999999999999996,349.71428571428567,0,5232220115501351--505003
Balance,Windshaper,Horde,448.4513579781516,33.32041902173259,0.4712218848448868,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,349.71428571428567,-5.329070518200751e-15,5232220115501351--505003
Balance,Night Elf,Alliance,454.8442625141531,35.070367779297676,0.49596989750895176,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,349.71428571428567,-5.329070518200751e-15,5232220115501351--505003
Balance,High Order,Alliance,448.4513579781516,33.32041902173259,0.4712218848448868,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,349.71428571428567,-5.329070518200751e-15,5232220115501351--505003
Feral,Tauren,Horde,589.2823250371864,32.40836328527163,0.45832346892345416,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,340,0,050022-3521002023032213041-053
Feral,Windshaper,Horde,586.9733792479603,30.927080412815286,0.43737496564406675,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,340,0,050022-3521002023032213041-053
Feral,Night Elf,Alliance,593.3145058198555,32.517585654619694,0.4598681064839197,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,340,0,050022-3521002023032213041-053
Feral,High Order,Alliance,586.9733792479603,30.927080412815286,0.43737496564406675,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,340,0,050022-3521002023032213041-053
Elemental,Orc,Horde,427.84010232338596,27.351115624158545,0.38680318661719676,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Tauren,Horde,425.6078852654985,27.235235690637065,0.385164396881267,5000,0,2.0999999999999996,2.0999999999999996,16,16,linear-v1,20.999999999999996,379.42857142857144,4.440892098500626e-16,5502301500123031-0500001-053050001
Elemental,Troll,Horde,424.2631931899925,27.42398414702808,0.3878337031503186,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Windshaper,Horde,421.58248057845765,27.050358880029016,0.3825498439519652,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Dwarf,Alliance,425.5583592518228,27.447830386708354,0.38817093990599305,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Stormcaller,Orc,Horde,444.5429504515634,28.208298548318172,0.3989255837850085,5000,0,8.1,8.1,16,16,linear-v1,81,379.42857142857144,7.105427357601002e-15,550032150010303-055030031004002
